"No.","Time","Source","Destination","Protocol","Length","Info"
"186","13.719091900","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:45003, 2.05 Content, TKN:90 54, /datafile/100B"
"187","13.721113821","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:50299, GET, TKN:59 22, /datafile/100B"
"188","13.723233429","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:50299, 2.05 Content, TKN:59 22, /datafile/100B"
"189","13.725488669","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:28311, GET, TKN:b9 86, /datafile/100B"
"190","13.727672383","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:28311, 2.05 Content, TKN:b9 86, /datafile/100B"
"191","13.729506097","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:12544, GET, TKN:78 3e, /datafile/100B"
"192","13.731909774","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:12544, 2.05 Content, TKN:78 3e, /datafile/100B"
"193","13.734042643","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:5133, GET, TKN:ec bd, /datafile/100B"
"194","13.736043250","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:5133, 2.05 Content, TKN:ec bd, /datafile/100B"
"195","13.741635184","192.168.10.31","192.168.10.2","CoAP","61","CON, MID:47901, GET, TKN:12, /datafile/100B"
"196","13.743775035","192.168.10.2","192.168.10.31","CoAP","148","ACK, MID:47901, 2.05 Content, TKN:12, /datafile/100B"
"197","13.745787773","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:60378, GET, TKN:ef 0d, /datafile/100B"
"198","13.747856198","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:60378, 2.05 Content, TKN:ef 0d, /datafile/100B"
"199","13.750297963","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:18201, GET, TKN:70 50, /datafile/100B"
"200","13.752397509","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:18201, 2.05 Content, TKN:70 50, /datafile/100B"
"201","13.754908916","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:14636, GET, TKN:ff 67, /datafile/100B"
"202","13.757094256","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:14636, 2.05 Content, TKN:ff 67, /datafile/100B"
"203","13.759355959","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:48717, GET, TKN:64 d5, /datafile/100B"
"204","13.761545858","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:48717, 2.05 Content, TKN:64 d5, /datafile/100B"
"205","13.763852386","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:3281, GET, TKN:c6 d6, /datafile/100B"
"206","13.765801177","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:3281, 2.05 Content, TKN:c6 d6, /datafile/100B"
"207","13.767765852","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:57648, GET, TKN:41 68, /datafile/100B"
"208","13.770112402","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:57648, 2.05 Content, TKN:41 68, /datafile/100B"
"209","13.772800670","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:31769, GET, TKN:19 62, /datafile/100B"
"210","13.774779088","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:31769, 2.05 Content, TKN:19 62, /datafile/100B"
"211","13.777746751","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:62825, GET, TKN:7d a1, /datafile/100B"
"212","13.779745032","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:62825, 2.05 Content, TKN:7d a1, /datafile/100B"
"213","13.782986235","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:773, GET, TKN:ee fd, /datafile/100B"
"214","13.785091006","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:773, 2.05 Content, TKN:ee fd, /datafile/100B"
"215","13.786886834","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:28771, GET, TKN:ef 50, /datafile/100B"
"216","13.789028184","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:28771, 2.05 Content, TKN:ef 50, /datafile/100B"
"217","13.790636689","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:52813, GET, TKN:12 f2, /datafile/100B"
"218","13.792735813","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:52813, 2.05 Content, TKN:12 f2, /datafile/100B"
"219","13.794612716","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:58735, GET, TKN:60 e7, /datafile/100B"
"220","13.796700886","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:58735, 2.05 Content, TKN:60 e7, /datafile/100B"
"221","13.798634184","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:9902, GET, TKN:82 a5, /datafile/100B"
"222","13.800654626","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:9902, 2.05 Content, TKN:82 a5, /datafile/100B"
"223","13.802561833","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:590, GET, TKN:0e 8f, /datafile/100B"
"224","13.804683841","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:590, 2.05 Content, TKN:0e 8f, /datafile/100B"
"225","13.806707249","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:29926, GET, TKN:7d 0b, /datafile/100B"
"226","13.808909767","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:29926, 2.05 Content, TKN:7d 0b, /datafile/100B"
"227","13.811003837","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:31858, GET, TKN:db db, /datafile/100B"
"228","13.813110718","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:31858, 2.05 Content, TKN:db db, /datafile/100B"
"229","13.816812537","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:39008, GET, TKN:d3 18, /datafile/100B"
"230","13.818995406","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:39008, 2.05 Content, TKN:d3 18, /datafile/100B"
"231","13.823133251","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:60258, GET, TKN:6c 7c, /datafile/100B"
"232","13.825126074","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:60258, 2.05 Content, TKN:6c 7c, /datafile/100B"
"233","13.826648591","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:33080, GET, TKN:0a 69, /datafile/100B"
"234","13.831683223","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:33080, 2.05 Content, TKN:0a 69, /datafile/100B"
"235","13.833273434","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:49984, GET, TKN:f7 41, /datafile/100B"
